name, math, english, programming_1, programming_2, statistics
Martha Harbert,15,52,62,54,17
Eva Eichelberger,15,82,88,0,69
Alverta House,63,74,88,99,15
Sarah Stark,85,86,64,13,40
Ila Mercuri,2,96,29,6,52
Frances Neal,57,16,3,41,0
Lisa Callaghan,36,15,99,47,98
Heather Moore,27,17,60,86,26
James Pagan,56,53,4,69,64
Lynn Marsh,25,99,37,77,81
Karin Slater,37,16,56,21,65
Jose Stewart,29,74,89,69,56
Teri Rothschild,4,5,95,27,29
Frederick Blatt,100,1,49,78,63
Stevie Trevethan,90,46,30,48,65
Anita Uribe,68,0,77,59,65
Mark Jarrell,77,76,36,66,71
Robert Moore,23,95,73,100,34
Ed Permenter,67,93,76,91,33
Annetta Crabtree,35,92,90,9,24
Anita Chandler,28,76,57,67,50
Edward Faubion,6,83,42,60,39
Nicholas Mullen,77,80,84,42,31
Phyllis Moore,21,8,91,96,91
Claude Davis,49,97,75,48,63
Angelica Mahoney,90,46,2,28,48
Steven Talley,24,6,3,3,4
Suzanne Park,18,51,96,39,31
Meredith Ramirez,64,41,6,69,50
Martha White,42,31,37,52,70
Irma Wymore,99,5,65,28,38
Lavone Pena,86,79,73,10,18
Deanna Smith,64,21,47,40,70
Alexander Hash,82,46,25,63,20
Patrick Mcdaniel,5,89,6,83,20
Gerald Wright,63,59,89,82,12
Kimberly Diehl,16,67,94,93,15
Randall Frank,72,87,45,6,79
Thomas Butler,48,89,79,14,7
Christopher Carter,63,92,44,74,58
Victoria Kim,10,60,24,28,62
Brenda Weyant,85,49,82,36,61
Dylan Middleton,32,45,10,55,31
Michele Sloan,10,62,8,71,78
William Zinner,84,89,87,95,76
John Trible,43,18,37,38,51
Robert Mccann,61,65,57,26,15
Michael Samaniego,36,15,37,11,43
Walter Gomez,28,59,37,52,14
Cecelia Altobell,36,79,7,29,2
Rachel Cornell,8,48,13,68,86
Raymond Schepker,68,89,0,32,8
Alejandro Hutchison,37,77,40,60,31
Sharon Ratledge,89,48,66,4,10
Shirley Hart,51,95,11,28,54
Carol Goddard,70,46,95,38,73
Candice Lowe,67,4,68,93,34
Beth Bogle,45,90,74,55,52
Stanley Lundy,10,24,96,15,45
Odette Brinson,73,94,53,85,33
Vivian Hooker,78,42,72,67,15
Shawn Cullom,69,100,69,31,69
Jim Mclamb,5,88,28,88,31
Billie Campos,49,64,53,81,26
Clyde Jones,28,18,95,22,63
Joseph Harding,3,27,73,78,1
Garfield Wilson,21,48,93,25,66
Rhonda Lakey,41,52,79,71,64
John Melton,76,24,85,0,96
Ken Brown,3,67,97,24,42
Suzan Duvall,57,11,79,18,37
Barbara Martin,2,81,28,1,19
Shawn Butler,94,11,40,48,26
Leslie Conover,54,14,93,90,53
Lindsey Ellis,23,1,95,40,23
Patti Davidson,87,45,11,15,28
Arthur Gray,94,77,2,84,32
John Sanders,38,72,46,53,37
Charles Sanchez,95,66,22,33,10
Ruth Moy,79,37,62,78,61
Eugene Chavez,94,62,30,50,49
Kate Anderson,30,87,33,41,21
Paul Beasley,70,17,85,95,4
Olivia Grady,71,19,85,95,77
Myong Mascagni,34,84,36,64,47
Travis Determan,92,92,11,20,48
Susan Arroyo,4,47,31,68,78
Rene Brown,23,21,46,64,61
Johnny Carpenter,89,23,95,27,38
Rodger Smith,7,60,55,62,8
Thomas Younce,54,85,4,17,37
Bonnie Thomas,16,54,98,19,16
Thomas Palma,21,91,4,41,85
Colleen Cavazos,45,98,90,1,21
Lindsay Rebello,58,52,42,18,60
Joyce Grimes,46,40,60,93,34
Samuel Rogers,6,16,89,39,97
Susan Roush,15,98,7,45,73
Willie Jennings,89,16,100,8,10
Scott Polanski,64,47,75,6,48
Michael Brock,44,50,4,73,43
August Sayman,78,4,96,46,79
Melanie Carrel,76,64,71,2,6
Kevin Stoll,85,0,91,0,51
William Ash,1,9,93,70,20
Lori Roth,21,17,96,64,97
Christopher Hooks,41,65,66,46,80
Jean Napolitano,24,92,100,25,42
Richard Lee,76,16,97,93,49
Beth Willman,71,25,99,20,72
Guadalupe Earls,95,99,31,6,37
Marlon Riley,79,26,78,64,4
Thomas Drake,88,72,97,1,53
Sharon Brack,70,43,41,64,22
Franklin Gentges,92,4,67,27,90
Elisabeth Brown,99,46,7,89,56
Henry Ratterree,75,66,65,61,50
Nancy Morris,12,36,38,50,71
Diana Baker,35,85,32,41,67
Donald Rung,92,56,29,47,83
Fred Mcgowin,3,43,78,97,57
Patrick Arnold,61,65,2,31,55
Susie Frazier,68,73,93,51,6
Mary Maberry,85,77,77,53,99
Matthew Green,88,63,47,46,23
Jack Fowler,87,0,5,35,70
Brandon Donoghue,35,75,17,73,17
Maryann Millan,72,30,79,58,33
John Mcallister,84,7,58,5,31
Karen Staton,6,92,11,43,33
William Burton,3,51,90,99,56
Henry Hall,38,40,79,45,38
Jeremiah Spirko,17,45,64,19,3
Tania Dickens,74,75,3,5,97
Lori Sugar,21,0,80,59,79
James Bennet,72,56,35,73,19
Margo Flach,89,96,85,6,96
Mara Ruiz,41,51,78,13,52
Samatha Ehret,58,87,39,3,31
Nathalie Rice,90,87,69,8,57
Guy Sims,18,77,39,65,80
Shelly Lerer,52,97,30,92,98
Bernadette Goldfarb,50,61,46,95,7
Kelly Kirby,69,56,53,0,6
Kelvin Moore,97,56,79,53,87
Rachel Magnie,11,80,70,58,64
Marlene Booth,89,81,45,31,76
Juliet Brooks,91,60,40,40,1
Kathleen Mills,66,78,53,57,55
Stephanie Dipietro,0,4,12,57,79
Mary Cheek,76,45,56,78,3
Carole Parker,29,49,39,56,35
Steve Dominguez,1,59,28,11,72
Mabel Hall,53,10,99,19,81
Lee Cayea,35,4,73,90,52
Kevin Lanham,19,52,29,53,60
Maurice Baxter,65,79,81,10,34
Mavis Holland,81,35,35,31,11
Tyler Breeden,14,6,48,30,77
Jerald Theroux,78,69,86,53,28
Edwin Ledet,5,93,82,72,51
Isela Johnson,7,46,73,11,17
Jennifer Hamm,36,28,56,38,77
Luz Clark,10,57,35,14,11
William Jenkins,38,69,64,44,78
Ashley Scavotto,42,61,82,80,57
Jane Carr,33,20,41,35,41
Robert Jameson,8,46,89,42,100
Carolyn Bartlett,88,66,70,20,49
Dale Gordon,13,95,17,92,24
Horace Mack,55,40,22,41,62
Yukiko Bintner,97,11,61,79,31
Teresa Nation,53,38,87,42,90
Tabitha Jenkins,87,22,9,33,22
Michel Kniffen,87,27,41,10,91
Lynnette Wright,45,0,19,52,89
James Rivera,95,77,22,91,65
Charlene Jensen,19,69,66,90,93
Jessica Hines,20,72,100,72,61
Kelly Chapman,93,7,13,8,23
Victoria Elliott,82,6,95,3,14
Lois Clagon,61,7,18,84,84
Rebecca Johnson,67,41,82,15,99
Luis Thompson,92,50,45,86,45
Jayson Grubbs,56,54,42,20,30
Kristina Cavanaugh,90,28,34,22,51
Lynette Bragg,21,68,47,75,38
Joyce Lambert,84,12,67,29,40
Anthony Hines,76,84,25,83,94
Bonnie Wilkinson,41,2,90,73,80
Justin Cabrera,19,96,14,43,100
Isaac Sanchez,29,47,85,53,39
Michael Johnson,33,12,59,52,75
Sharon Richardson,39,95,10,1,90
Gladys Cueto,14,40,75,23,83
Lisa Rudolph,55,10,51,37,3
Tomi Colon,41,83,69,5,74
David Scott,61,81,46,70,90
Marlene Brockhaus,42,27,41,49,23
Michael Lehrman,34,54,15,1,40
William Norris,82,38,14,87,35
Lori Smith,11,31,6,77,51
Wesley Rocco,13,45,68,67,26
Trinidad Blaize,86,30,76,80,2
Jean Monroe,17,46,68,63,70
Gerard Mccoun,73,0,94,73,51
June Vinson,4,35,7,93,87
Ray Bowler,17,26,69,80,86
Anne Burgess,86,33,32,41,14
Julie Stallings,63,85,77,57,45
George Taylor,59,87,59,16,60
Randy Teague,17,7,0,69,24
Edward Fisher,68,99,70,47,27
Stuart Hambrick,32,57,29,39,35
Charles Jablonski,36,46,96,33,40
Gregory Grimes,54,12,20,40,90
Virginia Graney,38,42,67,65,4
Deborah Braden,83,19,18,33,8
Audrey Bundy,0,72,15,6,75
Jan Allen,69,80,12,54,37
Willie Bush,1,16,19,43,8
Donna Dockstader,54,77,100,78,56
Sean Vesely,41,97,50,85,88
Taylor Oloughlin,6,92,88,48,93
Thomas Bergin,95,77,29,55,35
Vincent Lawrence,52,31,27,95,66
Patricia Callahan,73,27,64,7,8
Mary Vidot,57,52,63,39,99
Robert Walker,7,89,97,5,13
Juanita Cutshall,47,88,28,72,64
John Bowers,95,88,55,41,85
Peggy Perez,50,43,33,24,99
Vaughn Pena,82,75,56,73,95
Wayne Brown,91,12,94,4,14
Craig Blades,69,0,7,60,43
Wendy Parks,7,58,11,83,42
Kathy Olsson,29,78,2,93,55
Micha Babbitt,98,60,17,14,53
Christian Sosa,97,26,34,17,83
Brandon Westphal,8,9,1,44,79
Nicole Anglea,23,38,6,22,76
Hubert Morgan,20,96,23,89,20
Joe Bonilla,32,87,95,80,24
Jerry Glover,50,92,73,78,22
Mia Lyell,78,85,11,70,7
Kathleen Lachiatto,14,20,92,85,16
Michael Hain,35,44,22,27,48
William Allen,51,32,8,71,36
Herminia Powers,49,34,27,19,70
Estelle Huttar,69,78,99,64,90
Michael Shipp,91,53,38,41,38
Ebony Brechbiel,48,80,14,84,79
Melina Lemm,53,22,17,34,36
Ray Bolinger,23,8,71,68,96
Christina Gause,4,47,0,66,70
Jean Samuels,90,32,43,13,87
Deloris Mahone,88,42,58,98,97
Thomas Wilkins,22,55,46,69,28
Christine Grosz,50,42,45,18,39
Horace Rizzi,88,69,64,52,23
Jennifer Cox,99,21,17,79,93
Melanie Fiedler,78,45,78,71,4
Amelia Archer,26,99,68,26,48
George Clothier,99,90,56,66,43
Maurice Smith,83,58,31,98,51
John Laliberte,84,98,34,93,69
Charles Winer,49,9,73,93,95
Edward Valle,63,71,81,32,78
Nancy Shellenberger,71,99,9,56,7
Roseanna Myers,30,12,85,53,12
Jonathan Liao,76,52,52,92,27
James Kelley,3,6,100,6,85
Pamela Howard,69,65,8,79,23
Sandra Bonneville,5,80,4,16,4
Paul Smith,60,20,61,62,19
Elsie Conigliaro,89,37,52,77,65
Marion Cully,26,91,0,74,19
Margaret Vannest,24,19,36,63,56
Lourdes Blackwell,13,51,46,91,53
Thomas Uhl,28,45,10,8,39
Tiffany Long,33,76,98,88,12
Teresa Brisco,62,77,74,17,89
James Houseknecht,69,62,74,94,75
Chandra Zanders,75,15,10,13,61
Jared Stone,60,7,55,58,78
Luis Lout,52,66,96,63,26
Hazel Loos,14,26,0,24,26
Felicia Aviles,34,83,35,5,43
Ronnie Grimshaw,53,34,61,78,60
John Dobbins,35,58,36,79,50
Beverly Page,22,55,70,5,17
Jeremy Friedt,32,19,88,34,56
Daniel Campbell,34,87,26,34,48
David Duffy,90,3,4,74,6
Jessica Blomberg,84,60,47,21,3
Mattie Kerley,13,56,55,38,100
Gregory Hite,57,27,27,30,79
Sadie Flanders,22,23,57,67,86
Consuelo Birchall,97,28,72,57,2
Eddie Duran,22,67,11,51,91
Lucile Glanton,23,52,8,39,37
Bryan Pollack,86,89,80,93,41
Kyle Walton,56,92,74,4,1
Guy Berthiaume,27,41,28,21,12
Shawn Trible,26,20,100,25,2
Alvaro Montgomery,74,31,48,88,77
Shirley Buie,71,26,73,29,15
Jaclyn Barnett,84,51,97,52,4
Stanley Pena,56,91,51,43,4
Johnny Kidd,68,39,88,30,32
Roxie Fields,37,78,27,41,0
Lauren Noble,55,3,32,62,72
Michael Blackwell,17,55,49,58,89
Florence Stowers,4,79,65,7,79
Amanda Savage,57,47,7,17,29
Peter Le,24,12,30,100,58
Lynne Smith,8,81,85,79,56
Patricia Werkhoven,50,44,82,56,62
William Uriegas,46,45,8,63,97
Marcy Dunston,97,68,90,96,64
Mary Martin,64,59,24,85,58
Rita Kifer,83,47,81,56,6
Julie Mitchell,11,36,90,89,74
Wanda Norton,47,71,77,31,45
Ana Hawkins,23,15,89,16,36
Tommy Hanks,24,78,12,6,83
Jorge Urbanski,24,89,86,61,78
William Kanemoto,11,81,18,8,71
Leona Ford,63,83,78,67,95
Anna Harris,85,60,87,22,79
Harry Cave,88,33,83,57,37
Adam Hollen,90,74,9,87,25
Andrew Mazza,45,74,88,72,42
Frank Knowles,97,62,36,6,19
Lindsey Dallas,87,52,83,0,18
Denise Coats,74,83,0,20,87
Michael Rawlings,16,86,54,49,9
Jennifer King,90,14,20,80,12
Dennis Ulatowski,15,100,32,88,15
Lucy Maddox,58,53,61,0,37
Justin Elletson,61,0,79,84,49
Bruce Bowles,69,70,92,59,66
William Battaglia,33,58,26,72,13
Thomas Mcallister,29,50,96,52,39
Alan Castillo,51,25,17,95,21
Barbara Crouse,36,71,20,84,42
Christina Mcbride,82,12,89,28,0
Jill Robinson,31,51,64,19,25
