name, math, english, programming_1, programming_2, statistics, business
David Richmon,60,6,26,73,56
Rebecca Bays,34,28,95,17,11
Kimberly Ransom,25,26,8,4,57
Joel Holcomb,43,0,2,76,29
Jessica Grainger,13,51,77,77,33
Wayne Fowler,41,17,30,88,96
Martha Mahan,48,77,54,2,5
James Garcia,52,40,79,96,3
Melba Fraser,58,32,27,29,4
Margaret Baim,63,14,30,77,62
George Thomas,47,95,66,71,56
Alma Hopper,86,17,92,79,56
Eric Curry,3,7,22,41,82
Robert Villanueva,61,92,100,41,12
Michelle Zamudio,39,95,34,42,93
Lisa Smith,96,76,11,63,68
James Goldsmith,36,90,56,58,94
Kimberly Tilley,55,95,51,95,77
Mark Means,72,25,7,33,50
Paul Kaiser,39,10,28,15,12
Jacob Farrington,39,74,67,18,1
Lynne Arnette,41,33,70,57,44
James Ford,37,30,40,14,83
George Wiles,6,14,52,89,0
Ken Avila,23,91,100,54,13
Clarence Massimino,38,22,41,99,19
Randolph Kiefer,26,82,8,65,71
Lorraine Johnson,81,51,31,88,66
Tom Franco,100,48,23,41,30
Gloria Adriance,86,72,15,82,43
John Orozco,71,85,27,45,13
Dominick Boles,23,5,35,86,7
Mildred White,4,43,48,94,83
Bruce Barthelemy,66,86,49,73,17
Jean Kirby,11,68,23,76,64
Donald Doyle,9,71,33,50,30
Mildred Seedorff,53,56,36,41,79
Walter Deloria,79,8,81,24,98
Roberto Yanes,64,75,59,71,59
Nilsa Everett,35,34,61,42,56
Eileen Davis,26,87,69,37,90
Donna Conway,73,60,94,78,10
Patricia Tuttle,6,65,47,97,66
John Lightle,41,63,57,63,83
Gregg Beaulieu,8,59,32,13,18
Mary Zarek,41,70,41,18,70
Albert Tademy,12,83,50,63,12
Victoria Nittler,87,71,79,75,70
Brandon Stubbert,2,61,38,19,66
Joshua Holland,98,84,97,87,27
Jake Hann,38,12,29,58,66
Claudine Walker,92,3,28,90,35
Ladonna Edmond,86,66,58,49,6
Melissa Ballantyne,33,98,7,61,83
Michael Hill,14,30,3,99,90
James Medlin,44,34,48,84,93
Ivan Khensovan,52,79,58,66,96
Eugene Shultz,15,41,81,99,3
James Perry,31,21,45,92,10
Steven Arnett,1,64,26,31,68
Jodi Arend,75,30,33,65,37
Susan Ingersoll,81,52,75,31,13
Irma Wagner,40,46,77,97,11
Jennie Glenn,73,48,43,59,6
William Chatman,7,56,60,76,76
Harriet Gonzalez,61,32,85,30,89
Carol Forbess,93,78,8,9,95
Frank Thompson,39,17,9,26,0
Joseph Southern,99,9,88,73,78
Norma Kirkwood,4,65,44,2,95
James Martin,15,19,43,73,66
Sylvia Noack,75,10,45,94,73
Adam Pyles,45,0,93,91,96
Lillian Cano,38,32,65,26,75
